ablation,seed,accuracy,macro_f1,micro_f1,cohen_kappa,brier_score,ece,nll,macro_roc_auc_ovr,macro_pr_auc_ovr,macro_f1_present_only,kappa,objective_loss,nll_loss,loss
GAT,42,0.3739335870849193,0.18343148519533475,0.3739335870849193,0.2371911860608772,0.8035157322883606,0.16079752246551834,2.3435239791870117,0.8363736846206024,0.2218436928687475,0.18343148519533475,0.2371911860608772,2.344167072482897,2.344167072482897,2.344167072482897
GAT,43,0.38193988712429455,0.17746018315442927,0.38193988712429455,0.23880466740568662,0.783508837223053,0.15798720179196807,2.2313084602355957,0.8480136727204064,0.25739393986394893,0.17746018315442927,0.23880466740568662,2.231308674183335,2.231308674183335,2.231308674183335
GAT,44,0.3832523953274708,0.1777527639159902,0.3832523953274708,0.22986342290619366,0.793048620223999,0.1768172777869411,2.320826292037964,0.8310288968141851,0.23627440463203273,0.1777527639159902,0.22986342290619366,2.321785766553622,2.321785766553622,2.321785766553622
GCN,42,0.3205145032156451,0.08086752378799163,0.3205145032156451,0.11514890649328258,0.8123252987861633,0.04163576138584393,2.3141794204711914,0.7736781191662094,0.1377179292875627,0.08086752378799163,0.11514890649328258,2.3141793428028734,2.3141793428028734,2.3141793428028734
GCN,43,0.31749573434833966,0.08853510169459981,0.31749573434833966,0.10895566711014815,0.8173224329948425,0.06230664063132111,2.31441330909729,0.7897683662818519,0.13650646735129834,0.08853510169459981,0.10895566711014815,2.3144135173810625,2.3144135173810625,2.3144135173810625
GCN,44,0.3148707179419871,0.0908937394221264,0.3148707179419871,0.11942407393483145,0.8186813592910767,0.05490836856684077,2.3349130153656006,0.7863439390725022,0.1493723357697716,0.0908937394221264,0.11942407393483145,2.334913154461359,2.334913154461359,2.334913154461359
GIN,42,0.37944612153825963,0.14368720025915724,0.37944612153825963,0.22103728973652137,0.7810611128807068,0.1074666746820282,2.2289607524871826,0.8268892678446226,0.18737286026926064,0.14368720025915724,0.22103728973652137,2.2289606381830134,2.2289606381830134,2.2289606381830134
GIN,43,0.36645229032681453,0.15953076519804454,0.36645229032681453,0.21121026073812466,0.8084826469421387,0.1511641363488015,2.3696534633636475,0.8246320428040881,0.2338421149311591,0.15953076519804454,0.21121026073812466,2.369653518923719,2.369653518923719,2.369653518923719
GIN,44,0.36697729360808506,0.1613705829397823,0.36697729360808506,0.19527961532782034,0.8163226842880249,0.1802148927144451,2.36281681060791,0.8231613903482773,0.24597105187946197,0.1613705829397823,0.19527961532782034,2.362816751871636,2.362816751871636,2.362816751871636
GAT+ClassWeights(inv_sqrt),42,0.3739335870849193,0.18343148519533475,0.3739335870849193,0.2371911860608772,0.8035157322883606,0.16079752246551834,2.3435239791870117,0.8363736846206024,0.2218436928687475,0.18343148519533475,0.2371911860608772,5.070228787948022,2.344167072482897,5.070228787948022
GAT+ClassWeights(inv_sqrt),43,0.38193988712429455,0.17746018315442927,0.38193988712429455,0.23880466740568662,0.783508837223053,0.15798720179196807,2.2313084602355957,0.8480136727204064,0.25739393986394893,0.17746018315442927,0.23880466740568662,5.101163146533057,2.231308674183335,5.101163146533057
GAT+ClassWeights(inv_sqrt),44,0.3832523953274708,0.1777527639159902,0.3832523953274708,0.22986342290619366,0.793048620223999,0.1768172777869411,2.320826292037964,0.8310288968141851,0.23627440463203273,0.1777527639159902,0.22986342290619366,4.991504270161429,2.321785766553622,4.991504270161429
GAT+ClassWeights(effective_num),42,0.3739335870849193,0.18343148519533475,0.3739335870849193,0.2371911860608772,0.8035157322883606,0.16079752246551834,2.3435239791870117,0.8363736846206024,0.2218436928687475,0.18343148519533475,0.2371911860608772,5.070231742598532,2.344167072482897,5.070231742598532
GAT+ClassWeights(effective_num),43,0.38193988712429455,0.17746018315442927,0.38193988712429455,0.23880466740568662,0.783508837223053,0.15798720179196807,2.2313084602355957,0.8480136727204064,0.25739393986394893,0.17746018315442927,0.23880466740568662,5.101166173281797,2.231308674183335,5.101166173281797
GAT+ClassWeights(effective_num),44,0.3832523953274708,0.1777527639159902,0.3832523953274708,0.22986342290619366,0.793048620223999,0.1768172777869411,2.320826292037964,0.8310288968141851,0.23627440463203273,0.1777527639159902,0.22986342290619366,4.9915071406973395,2.321785766553622,4.9915071406973395
GAT+ClassWeights(inv_sqrt)+LS0.05,42,0.3846961543509647,0.14501324253547432,0.3846961543509647,0.22255117270842273,0.7731548547744751,0.04455518153986133,2.342503070831299,0.8090734475998025,0.23984759513166198,0.14501324253547432,0.22255117270842273,3.1862354223176492,2.342503088167418,3.1862354223176492
GAT+ClassWeights(inv_sqrt)+LS0.05,43,0.37380233626460163,0.16220761583810958,0.37380233626460163,0.22485595480661835,0.7757667899131775,0.05338044386943317,2.289680242538452,0.8314182094896729,0.24313002141195114,0.16220761583810958,0.22485595480661835,3.1640130410217555,2.289680381055297,3.1640130410217555
GAT+ClassWeights(inv_sqrt)+LS0.05,44,0.404646279039244,0.16605914519980813,0.404646279039244,0.2509808668411859,0.7585115432739258,0.057609673355262195,2.25398325920105,0.8384528580660853,0.24634349856421625,0.16605914519980813,0.2509808668411859,3.1551657096656514,2.253983059084655,3.1551657096656514
GAT+ClassWeights(inv_sqrt)+TempScaling,42,0.3739335870849193,0.18343148519533475,0.3739335870849193,0.2371911860608772,0.772808313369751,0.05888866988445988,2.113767385482788,0.836884450160843,0.22085428959180867,0.18343148519533475,0.2371911860608772,4.930928707122803,2.113767147064209,4.930928707122803
GAT+ClassWeights(inv_sqrt)+TempScaling,43,0.38193988712429455,0.17746018315442927,0.38193988712429455,0.23880466740568662,0.7527967691421509,0.03496896536280779,2.028608798980713,0.8494233749416539,0.25913209171960183,0.17746018315442927,0.23880466740568662,5.047359466552734,2.028608798980713,5.047359466552734
GAT+ClassWeights(inv_sqrt)+TempScaling,44,0.3832523953274708,0.1777527639159902,0.3832523953274708,0.22986342290619366,0.7577254772186279,0.02441485700139945,2.066406011581421,0.8316016124142388,0.23722134618327073,0.1777527639159902,0.22986342290619366,4.761379241943359,2.066406011581421,4.761379241943359
